Topic ID,Topic Word Scores,Generic Label
-1,"[('one', 0.002905594491308139), ('vaccine', 0.0028420763217053458), ('my', 0.002728361617927732), ('white', 0.0027239927567063327), ('he', 0.002676210691545712), ('her', 0.0026522867735118), ('his', 0.002584980613956313), ('president', 0.0024930013597969426), ('she', 0.0024684401293080605), ('an', 0.00246251429028087)]",Outlier
0,"[('afghanistan', 0.032999208892878724), ('taliban', 0.032999111780039475), ('kabul', 0.018394504424916244), ('afghan', 0.014301296083777625), ('airport', 0.01254526896651722), ('afghans', 0.009063053714350549), ('allies', 0.007370091500100645), ('evacuation', 0.005884892227531111), ('troops', 0.0057013981759741214), ('terrorists', 0.005028124161848211)]",Politics
1,"[('masks', 0.047309923463561124), ('mask', 0.04243329250837243), ('mandates', 0.011296136694734121), ('vaccinated', 0.010570132206269746), ('masking', 0.007909262675746594), ('mandate', 0.007570813405893852), ('cdc', 0.005459857426545053), ('immune', 0.004972094090216861), ('covid', 0.004804760995086379), ('pandemic', 0.004702107781839386)]",Health
2,"[('hey', 0.017089650243714827), ('fucking', 0.017089650243714827), ('wild', 0.01693201563402316), ('attention', 0.015056278949447914), ('yo', 0.014523642833899529), ('story', 0.013386707368897318), ('yall', 0.013151283379991972), ('did', 0.013114905532731912), ('scare', 0.012538501545732264), ('ago', 0.01035272749732283)]",Social Media
3,"[('mattythrice', 0.022881301531778003), ('maggienyt', 0.01324469163257574), ('caeserpounce', 0.01324469163257574), ('christians', 0.010478297769984695), ('matt', 0.00981792531795381), ('curfewx', 0.009405330416192908), ('esthercrawford', 0.009405330416192908), ('swedishchf', 0.009405330416192908), ('andrewlazarus4', 0.009405330416192908), ('spiderhyphenman', 0.009405330416192908)]",Social Media
4,"[('vaccines', 0.02899252126038468), ('vaccine', 0.02483031612441066), ('vaccinated', 0.01482073066772228), ('immunity', 0.012510366282302031), ('smallpox', 0.008606820238670107), ('unvaccinated', 0.008217873728843871), ('prevent', 0.007460081330704587), ('strains', 0.006665592993114011), ('polio', 0.006318674606075385), ('infection', 0.005762277505730131)]",Health
5,"[('israel', 0.043936987202649304), ('israeli', 0.03855215092105284), ('gaza', 0.03829676970203813), ('palestinians', 0.027407348711073212), ('palestinian', 0.023130626322559328), ('hamas', 0.023130626322559328), ('palestine', 0.019969426901737), ('gazaunderattack', 0.011662424934695102), ('idf', 0.010545201251904217), ('jerusalem', 0.008787667709920182)]",Politics
6,"[('gun', 0.0537733059168925), ('guns', 0.03036150532570676), ('amendment', 0.021386877166989882), ('ar15', 0.02054545990546447), ('rifle', 0.010395432058573907), ('firearms', 0.009988156074742346), ('nra', 0.009615731498184623), ('m16', 0.006880728440299169), ('pistol', 0.006880728440299169), ('handgun', 0.006621936267131051)]",Guns
7,"[('joe', 0.03031907177593219), ('biden', 0.02720040986600491), ('bidens', 0.01600905557723775), ('president', 0.014592212301533177), ('dictator', 0.011613317334682165), ('bidenliedpeopledied', 0.008721971701033001), ('bidenlied', 0.0070593141628860715), ('giuliani', 0.00686244228571205), ('obama', 0.006458649526013942), ('administration', 0.005863887329289086)]",Politics
8,"[('ivermectin', 0.08111780652284079), ('horse', 0.024324606167744692), ('patients', 0.015681298969548237), ('fda', 0.015558477889327344), ('treatment', 0.015488400419303373), ('ivm', 0.010722455850082049), ('prophylaxis', 0.00996152265606086), ('horses', 0.009737600535041122), ('medicine', 0.00927945427752563), ('covid', 0.006862827444682433)]",Health
